SampleID	Env	SourceSink	id
ERR526071	Env_2	Sink	1
ERR525856	Env_3	Sink	2
ERR525947	Env_1	Sink	3
ERR526013	Env_2	Sink	4
ERR525767	Env_4	Sink	5
ERR525909	Env_6	Sink	6
ERR525805	Env_2	Sink	7
ERR525774	Env_1	Sink	8
ERR525750	Env_2	Sink	9
ERR526054	Env_1	Sink	10
ERR525891	Env_2	Sink	11
ERR525824	Env_3	Sink	12
ERR525878	Env_1	Sink	13
ERR525799	Env_4	Sink	14
ERR526056	Env_3	Sink	15
ERR525721	Env_2	Sink	16
ERR525971	Env_4	Sink	17
ERR525997	Env_2	Sink	18
ERR525713	Env_3	Sink	19
ERR525874	Env_1	Sink	20
ERR525748	Env_2	Sink	21
ERR526050	Env_1	Sink	22
ERR525782	Env_1	Sink	23
ERR525749	Env_1	Sink	24
ERR525724	Env_1	Sink	25
ERR525725	Env_4	Sink	26
ERR525837	Env_2	Sink	27
ERR525893	Env_4	Sink	28
ERR525857	Env_2	Sink	29
ERR525797	Env_2	Sink	30
ERR525998	Env_1	Sink	31
ERR525812	Env_1	Sink	32
ERR525784	Env_3	Sink	33
ERR525807	Env_2	Sink	34
ERR525950	Env_3	Sink	35
ERR525928	Env_4	Sink	36
ERR525958	Env_1	Sink	37
ERR525727	Env_2	Sink	38
ERR526085	Env_2	Sink	39
ERR525830	Env_1	Sink	40
ERR525880	Env_3	Sink	41
ERR525697	Env_4	Sink	42
ERR525934	Env_1	Sink	43
ERR525729	Env_4	Sink	44
ERR526006	Env_1	Sink	45
ERR525913	Env_2	Sink	46
ERR525804	Env_4	Sink	47
ERR526031	Env_4	Sink	48
ERR525994	Env_1	Sink	49
ERR525904	Env_3	Source	49
ERR525884	Env_4	Source	49
ERR526029	Env_2	Source	49
ERR525786	Env_1	Source	49
ERR525813	Env_4	Source	49
ERR525717	Env_3	Source	49
ERR526052	Env_3	Source	49
ERR525836	Env_3	Source	49
ERR526076	Env_3	Source	49
ERR525696	Env_1	Source	49
ERR525941	Env_2	Source	49
ERR525853	Env_2	Source	49
ERR525701	Env_3	Source	49
ERR525705	Env_1	Source	49
ERR525897	Env_2	Source	49
ERR525920	Env_3	Source	49
ERR526026	Env_1	Source	49
ERR525901	Env_4	Source	49
ERR526064	Env_3	Source	49
ERR525780	Env_3	Source	49
ERR525733	Env_4	Source	49
ERR525972	Env_3	Source	49
ERR526059	Env_4	Source	49
